book_name,authors,prices
bloodmoon: sister fidelma (book 29),peter tremayne,523
bloody river blues: location scout series (book 2),jeffery deaver,437
blowback: enzo files series (book 5),peter may,437
blue labyrinth: agent pendergast series (book 14),douglas preston,761
bollywood fiance for a day,ruchi vasudeva,221
bollywood fiance for a day,ruchi vasudeva,221
bollywood fiance for a day,ruchi vasudeva,221
bone china,laura purcell,846
borders,roy jacobsen,437
born to serve,josephine cox,244
box of bones: a captain darac mystery (book 3),peter morfoot,437
boy in the well: a di westphall novel (book 2),douglas lindsay,537
breakdown: an alex delaware thriller (book 31),jonathan kellerman,387
breaking the limits: reckless (book 2),cc gibbs,437
breaking the limits: reckless (book 2),cc gibbs,437
bridget jones's baby (the diaries),helen fielding,249
britannia: eagles of the empire (book 14),simon scarrow,697
britannia: eagles of the empire (book 14),simon scarrow,787
britannia: eagles of the empire (book 14),simon scarrow,697
britannia: eagles of the empire (book 14),simon scarrow,787
bross: the breed (book 2),chase novak,269
brotherhood in death: death series (book 42),j. d. robb,715
brown-eyed girl,lisa kleypas,805
burning angels: the will jaeger novel book 02,bear grylls,877
by blood divided,james heneage,219
camille: the paris files (book 3),pierre lemaitre,194
camino island,john grisham,697
camino island,john grisham,787
camino winds,john grisham,1951
camino winds: the perfect thriller for father¿s day,john grisham,1483
canary,duane swierczynski,219
canary,duane swierczynski,219
career game,louise mensch,437
careless love: inspector banks (book 25),peter robinson,697
cari mora: a novel,thomas harris,1255
cartes postales from greece,victoria hislop,1237
cartes postales from greece,victoria hislop,387
cartes postales from greece,victoria hislop,387
cast iron,peter may,787
cast iron: the enzo files (book 6),peter may,537
cell,stephen king,967
cell 8: ewert grens book 3 (dci ewert grens),anders roslund,387
chain of custody,anita nair,625
chaser: the dive bar series (book 3),kylie scott,1075
children of the lens (golden age masterworks),e.e. doc smith,787
china dream,ma jian,895
chinese whispers: a china thriller (book 6),peter may,387
chosen ones,veronica roth,1705
christmas at mistletoe cottage: hope meadows series (book 2),lucy daniels,219
christmas in eternity springs: eternity springs (book 12),emily march,437
christmas under the stars,karen swan,437
christmas under the stars,karen swan,437
christmas with you,sheila o''flanagan,537
church of marvels,leslie parry,437
city girl,patricia scanlan,387
city of masks: oswald de lacy (book 3),s d sykes,437
clash of empires: book 1,ben kane,895
claudia,anthony trevelyan,219
clockwork city: the delphic division (book 2),paul crilley,437
close your eyes: joseph o'loughlin series (book 8),michael robotham,448
clouds of witness: a lord peter wimsey mystery,dorothy l. sayers,437
cobra: benny griessel series (book 4),deon meyer,387
coffin road,peter may,787
cold as the grave: an inspector mclean novel (book 9),james oswald,787
cold case: bob skinner series (book 30),quintin jardine,787
cold cold heart,tami hoag,761
cold cold heart,tami hoag,761
cold desert sky: charlie yates (book 3),rod reynolds,219
collecting cooper: theodore tate series (book 2),paul cleave,219
collecting cooper: theodore tate series (book 2),paul cleave,219
come and find me: a di marnie rome novel (book 5),sarah hilary,437
come back to me,daniela sacerdoti,437
come sundown,nora roberts,895
conflicts of interest,terry stiastny,219
conspiracy of blood and smoke,anne blankman,487
corpus: tom wilde (book 1),rory clements,437
corridors of the night: an inspector william monk novel (book 21),anne perry,487
count to ten: the chicago novel (book 5),karen rose,437
country,danielle steel,671
country,danielle steel,671
country,michael hughes,369
country,michael hughes,437
court of wolves,robyn young,537
crackdown,bernard cornwell,448
cradle of thorns,josephine cox,219
crashing heaven: the station series (book 1),al robertson,967
crime scene,jonathan kellerman,537
crime scene: clay edison (book 1),jonathan kellerman,437
crooked,austin grossman,269
crowfall: the raven's mark (book 3),ed mcdonald,1075
crucible: independence day,greg keyes,487
crucible: independence day,greg keyes,487
crucible: independence day,greg keyes,487
cruel mercy: the ds mcavoy (book 6),david mark,437
cry baby (tom thorne novels),mark billingham,1398
cuff me: new york's finest series (book 3),lauren layne,697
cuff me: new york's finest series (book 3),lauren layne,697
curious minds,janet evanovich,487
cut,marc raabe,473
cut,marc raabe,473
cut out: di harland (book 3),fergus mcneill,219
damaged,martina cole,697
dance with the dead,james nally,437
dangerous games,danielle steel,671
dangerous minds (knight & moon 2),janet evanovich,537
dangerous minds: knight and moon (book 2),janet evanovich,437
dark age:the red rising trilogy (book 5),pierce brown,1525
dark forces: a spider shepherd thriller (book 13),stephen leather,437
dark forces: a spider shepherd thriller (book 13),stephen leather,387
dark forces: a spider shepherd thriller (book 13),stephen leather,437
dark forces: a spider shepherd thriller (book 13),stephen leather,387
dark light,jodi taylor,487
dark suits and sad songs: ci daley (book 3),denzil meyrick,219
dark tide rising: a commander william monk novel (book 24),anne perry,437
dark tracks: order of darkness (volume 4),philippa gregory,537
dark water,elizabeth lowry,437
dark water: a makana investigation (book 6),parker bilal,985
dark winter: a ds mcavoy novel,david mark,269
dark winter: a ds mcavoy novel,david mark,269
darkdawn:the nevernight chronicle (book 3),jay kristoff,1795
darker: fifty shades darker as told by christian,el james,671
darkfall,dean koontz,587
darkside,belinda bauer,985
darling blue,tracy rees,498
daughter of the house,rosie thomas,787
dave vs. the monsters:emergence (david hooper 1),john birmingham,219
day four,sarah lotz,437
day four,sarah lotz,437
day of the caesars: eagles of the empire (book 16),simon scarrow,697
daydreams of angels,heather o''neill,437
dead lions: jackson lamb thriller (book 2),mick herron,877
dead men's trousers,irvine welsh,1255
dead men's trousers,irvine welsh,1255
dead ringers,christopher golden,219
dead ringers,christopher golden,219
deadland: ds alexandra cupidi (book 2),william shaw,1327
deadland: ds alexandra cupidi (book 2),william shaw,1327
deadline,john sandford,625
deadly secrets: a pieter posthumus mystery (book 3),britta bolt,219
death by water: an oslo crime files novel (book 2),torkil damhaug,487
death is a welcome guest: plague times trilogy (book 2),louise welsh,244
death is not enough: the baltimore (book 6),karen rose,487
death is not enough: the baltimore series (book 6),karen rose,397
death trap: the rosie gilmour thriller (book 8),anna smith,787
defender,g x todd,244
deliver me,karen cole,941
demon seed,dean koontz,537
desert oath: assassin's creed origin,oliver bowden,941
desert oath: assassin's creed origin,oliver bowden,941
deus ex black light,james swallow,487
deus ex black light,james swallow,487
devil: the leopards of normandy (book 1),david churchill,587
devils day,andrew michael hurley,787
devils day,andrew michael hurley,787
devoted,dean koontz,1435
devoted in death: death series (book 41),j. d. robb,715
dexter is dead: the dexter series (book 8),jeff lindsay,805
did you see melody,sophie hannah,437
did you see melody,sophie hannah,487
die again: rizzoli & isles series (book 11),tess gerritsen,851
dietland,sarai walker,437
dirty deeds: dirty angels trilogy (book 2),karina halle,537
dirty deeds: dirty angels trilogy (book 2),karina halle,537
dirty promises: dirty angels trilogy (book 3),karina halle,219
displaced,stephan abarbanell,269
disturbance,marianne kavanagh,537
disturbance,marianne kavanagh,537
doctor no,ian fleming,697
doctor sleep,stephen king,1165
doctor who and the krikkitmen,douglas adams,985
doctor who: revelation of the daleks,eric saward,1435
doctor who: star tales,steve cole,1435
dodger of the dials,james benmore,219
dodger of the revolution,james benmore,487
domina,l.s. hilton,715
domina,l.s. hilton,437
"don't cry, tai lake: inspector chen 7",qiu xiaolong,487
don't you forget about me,mhairi mcfarlane,941
double fudge brownie murder: a hannah swensen mystery (book 18),joanne fluke,437
dragon fall (dragon fall book one),katie macalister,487
dragon teeth,michael crichton,715
dry bones in the valley,tom bouman,219
duke: the leopards of normandy (book 2),david churchill,437
eagle rising: jack series (book 2),david devereux,244
eagles in the storm,ben kane,805
early riser,jasper fforde,987
early riser,jasper fforde,877
earth storm,mons kallentoft,537
easterleigh hall at war,margaret graham,219
echoes from afar,tamara mckinley,219
echoes from afar,tamara mckinley,219
echoes in death:death series (44),j. d. robb,941
edge of danger: a deadly ops novel (book 4),katie reus,219
edge of darkness: the cincinnati (book 4),karen rose,487
edge of darkness: the cincinnati (book 4),karen rose,437
elevation,stephen king,805
empire's end: star wars aftermath (the aftermath trilogy book 3),chuck wendig,851
empires: the first battle,gavin deas,319
empires: the first battle,gavin deas,319
end game: a dirty money novel (book 4),lisa renee jones,537
end of watch: the bill hodges trilogy (book 3),stephen king,671
end of watch: the bill hodges trilogy (book 3),stephen king,895
endangered: joe pickett series (book 15),c.j. box,761
endangered: joe pickett series (book 15),c.j. box,761
enemy of rome: gaius valerius verrens series (book 5),douglas jackson,671
enigma of china:inspector chen series (book 8),qiu xiaolong,787
enough rope: the hakim and arnold series (book 4),barbara nadel,448
escape to the riviera,jules wake,437
escape to the riviera,jules wake,437
eve of man: eve of man trilogy (book 1),giovanna fletcher,895
eve of man: eve of man trilogy (book 3),giovanna fletcher,1356
evening primrose: a heart-wrenching novel for our times,kopano matlwa,437
every dark corner: the cincinnati (book 3),karen rose,537
every fifteen minutes,lisa scottoline,487
every mother's son,lyn andrews,219
evie's victory,kitty danton,544
evie's war: evie's dartmoor chronicles series (book 1),kitty danton,787
execution: giordano bruno series (book 6),s.j. parris,931
exile: the marc dane,james swallow,637
exile: the marc dane (book 2),james swallow,787
expectation,anna hope,888
fairytale,danielle steel,937
falling for jillian: the love under the big sky series,kristen proby,535
falling in love,donna leon,671
falling short,lex coulton,269
fallout: warshawski (book 18),sara paretsky,269
fat tuesday,sandra brown,537
fatal,john lescroart,369
fatal music: a captain darac mystery (book 2),peter morfoot,437
fatty o'leary's dinner party,alexander mccall smith,437
fear in the cotswolds: the cotswold mysteries (book 7),rebecca tope,437
fear of dying,erica jong,625
fear of dying,erica jong,625
feast days,ian mackenzie,269
fifty shades freed: the fifty shades trilogy (book 3),el james,715
fifty shades of grey: the fifty shades trilogy (book 1),el james,895
fight back: kerry casey (book 2),anna smith,787
final option: oregon files (book 14),clive cussler,718
final option: oregon files (book 14),clive cussler,718
final scream,lisa jackson,787
find her: detective d.d. warren (book 8),lisa gardner,387
finders keepers: the bill hodges trilogy (book 2),stephen king,671
finders keepers: the bill hodges trilogy (book 2),stephen king,941
finders keepers: the bill hodges trilogy (book 2),stephen king,671
fire & blood: 300 years before a game of thrones,george r.r. martin,2065
fire & sword: throne of the caesars (book 3),harry sidebottom,715
fire at sea: the beauty & beast series (book 3),nancy holder,244
fire damage: a jessie flynn novel (book 1),kate medina,437
firefly,henry porter,877
fireman,joe hill,877
first comes love,emily giffin,487
first response,stephen leather,487
five at the office christmas party,bruno vincent,697
five escape brexit island: enid blyton for grown ups,bruno vincent,697
five forget mother's day,bruno vincent,697
five get beach body ready,bruno vincent,697
five get gran online: enid blyton for grown ups,bruno vincent,697
five get on the property ladder,bruno vincent,697
five give up the booze,bruno vincent,697
five go bump in the night,bruno vincent,697
five go gluten free: enid blyton for grown ups,bruno vincent,697
five go gluten free: enid blyton for grown ups,bruno vincent,697
five go parenting,bruno vincent,697
five hundred miles from you: a novel,jenny colgan,1525
five lose dad in the garden centre: enid blyton for grown ups,bruno vincent,697
five on brexit island: enid blyton for grown ups,bruno vincent,697
fix you,carrie elks,437
fleishman is in trouble,taffy brodesser-akner,985
flight or fright:17 turbulent tales,stephen king,895
forever and a day,anthony horowitz,985
fortune's blight: shattered kingdoms (book 2),evie manieri,219
foundation and earth,isaac asimov,805
foundation's edge,isaac asimov,967
four,andy jones,437
freedom's child,jax miller,437
freedom's child,jax miller,437
freefall: pendulum trilogy series (book 2),adam hamdy,437
friction,sandra brown,487
friend of the family,tasmina perry,487
friendly fire,patrick gale,437
friendly fire,patrick gale,437
from liverpool with love,lyn andrews,219
from the earth to the shadows: valkyrie series (book 2),amanda hocking,941
from the earth to the shadows: valkyrie series (book 2),amanda hocking,941
fury (golden age masterworks),henry kuttner,787
galactic patrol (golden age masterworks),e.e. doc smith,787
garden of beasts,jeffery deaver,437
generation,paula mcgrath,269
"genocide, alien harvest: the complete aliens omnibus (volume 2)",david bischoff,967
"genocide, alien harvest: the complete aliens omnibus (volume 2)",david bischoff,967
genuine lies,nora roberts,1075
get even,martina cole,537
get even,martina cole,487
ghost flight: will jaeger series (book 1),bear grylls,787
ghost flight: will jaeger series (book 1),bear grylls,787
ghosts of christmas past,neil gaiman,437
ghosts of the past: an inspector bordelli mystery,marco vichi,537
girl runner,carrie snyder,537
girls of paper and fire,natasha ngan,487
girls on tour: girls on tour (book 1-5),nicola doherty,437
glimmer: glimmer and glow (book 1),beth kery,537
global strike: strike back series (book 3),chris ryan,397
go ask fannie farmer,elisabeth hyde,437
gold fame citrus,claire vaye watkins,419
gold fame citrus,claire vaye watkins,537
gold fame citrus,claire vaye watkins,537
golden hill,francis spufford,547
gone (dr bloom),leona deakin,941
gone: gardner and freeman (book 2),rebecca muddiman,219
gonzo girl,cheryl della pietra,219
"good girl, bad girl",michael robotham,931
gotham: dawn of darkness,jason starr,199
goulash,brian kimberling,244
gray mountain,john grisham,715
greeks bearing gifts,philip kerr,697
greeks bearing gifts,philip kerr,697
greeks bearing gifts: a bernie gunter thriller,philip kerr,877
greenmantle: the richard hannay adventures (book 2),john buchan,437
grey: fifty shades of grey as told by christian,el james,895
grist mill road,christopher j. yates,269
growing things and other stories,paul tremblay,985
gutenberg's apprentice,alix christie,437
gypsy,lesley pearse,269
half a world away,mike gayle,1327
half the world: shattered sea (book 2),joe abercrombie,805
half the world: shattered sea (book 2),joe abercrombie,805
halo: envoy,tobias s. buckell,761
hardcore 24: tephanie plum (book 24),janet evanovich,437
harmless like you,rowan hisayo buchanan,394
harmless like you,rowan hisayo buchanan,537
harmony,carolyn parkhurst,437
harsh gods: a novel of the shadowside book 02,michelle belanger,487
harsh gods: a novel of the shadowside book 02,michelle belanger,487
harsh gods: a novel of the shadowside book 02,michelle belanger,487
haunted hotel explorers,joe weller,487
hay bales and hollyhocks,sheila newberry,169
hay bales and hollyhocks,sheila newberry,169
hayat-e-moosh,andrzej zaniewski,270
he,john connolly,837
he said/she said,erin kelly,985
he: a novel,john connolly,437
head hunters: danny black thriller (book 6),chris ryan,448
head hunters: the danny black thriller (book 6),chris ryan,387
heart and home,lyn andrews,219
heart and home,lyn andrews,219
heart and home,lyn andrews,219
heartbreak hotel: an alex delaware thriller (book 32),jonathan kellerman,437
hearts of stone,simon scarrow,244
hearts of stone,simon scarrow,244
hearts of stone,simon scarrow,805
heartsong cottage: eternity springs (book 10),emily march,437
hell's kitchen: location scout series (book 3),jeffery deaver,437
hellbent:an orphan x thriller,gregg hurwitz,851
hello again: evelyn talbot series (book 2),brenda novak,219
her beautiful monster: the ravi pi series (book 2),adi tantimedh,219
her father's sins: queenie¿s story (book 1),josephine cox,269
her father's sins: queenie¿s story (book 1),josephine cox,269
her fugitive heart: the ravi pi series (book 3),adi tantimedh,244
her last whisper (dr charlotte stone),karen robards,487
her last whisper (dr charlotte stone),karen robards,487
her mother's secret,rosanna ley,387
her nightly embrace: the ravi pi (book 1),adi tantimedh,219
her royal spyness: royal spyness (book 1),rhys bowen,537
her watchful eye,julie corbin,269
here's to us,elin hilderbrand,437
heroes reborn:collection two,duane swierczynski,194
hetty's farmhouse bakery,cathy bramley,805
hideaway: a novel,nora roberts,1481
hideaway: a novel,nora roberts,1481
his and hers,alice feeney,846
histories,sam guglani,537
histories,sam guglani,637
hitler's secret,rory clements,931
hold your tongue: di eve hunter (book 1),deborah masson,895
holy spy: john shakespeare (book 6),rory clements,437
honeymoon suite,wendy holden,537
hope for the best: the chronicles of st mary's (book 10),jodi taylor,547
hope never dies: an obama biden mystery (book 1),andrew shaffer,715
horace winter says goodbye,conor bowman,319
hot pies on the tram car,sheila newberry,219
hot pursuit: a stone barrington novel,stuart woods,2587
hottest mess: the s.i.n series (book 2),j. kenner,437
how are you going to save yourself,j m holmes,269
how it happened,michael koryta,437
how secrets die,marta perry,671
how secrets die,marta perry,671
how the marquis got his coat back,neil gaiman,175
how to be famous: a novel,caitlin moran,941
how to be famous: a novel,caitlin moran,941
how to disappear,gillian mcallister,846
howling dark: sun easter (book 2),christopher ruocchio,931
hunt the fox: seal team six (book 5),don mann,219
hunted: voices series (book 2),g x todd,787
hunter reborn: a moon shifter novel (book 5),katie reus,219
hunting the eagles: the eagles of rome (book 2),ben kane,671
hush,karen robards,487
i did a bad thing,linda green,537
i did a bad thing,linda green,537
i followed the rules,joanna bolouri,787
i invited her in,adele parks,805
i saw a man,owen sheers,697
i saw a man,owen sheers,697
i will find you: seal island (book 2),daniela sacerdoti,537
i'll keep you safe,peter may,387
i'll keep you safe,peter may,537
i'll keep you safe,peter may,697
i'm still here,clelie avit,344
idle hands: the factory trilogy (book 2),tom fletcher,294
"if i knew you were going to be this beautiful, i never would have let you go",judy chicurel,244
if it bleeds,stephen king,2021
if she only knew: san francisco cahill (book 1),lisa jackson,537
if you only knew,kristan higgins,715
if you only knew,kristan higgins,715
if you're reading this i'm already dead,andrew nicoll,537
imaginary friend,stephen chbosky,1841
impure blood: a captain darac mystery (book 1),peter morfoot,437
impure blood: a captain darac mystery (book 1),peter morfoot,437
in an absent dream:wayward children series (book 4),seanan mcguire,1571
in every moment we are still alive,tom malmquist,537
in five years,rebecca serle,1615
in search of solace,emily mackie,269
in the name of the family,sarah dunant,895
indiscretion: andalucían nights (book 1),hannah fielding,537
inferno: a thomas kydd novel (book 17),julian stockwin,219
inheritance,jenny eclair,931
inhuman resources,pierre lemaitre,437
inquisition,david gibbins,387
inquisition: the jack howard (book 10),david gibbins,437
into a raging blaze,andreas norman,219
into the fire: evan smoak (book 5),gregg hurwitz,718
into the fire: the detainee book 2,peter liney,294
into the water,paula hawkins,805
invader,simon scarrow,715
invictus: an eagles empire novel (book 5),simon scarrow,387
invictus: eagles of the empire (book 15),simon scarrow,1507
iron & rust: throne of the caesars (book 1),harry sidebottom,715
iron gold: the red rising trilogy (book 4),pierce brown,985
island of glass: the guardians trilogy (book 3),nora roberts,895
island of glass: the guardians trilogy (book 3),nora roberts,895
it,stephen king,1255
it started with a secret,jill mansell,846
"its love, only love: the green mountain (book 5)",marie force,269
ivory,tony park,637
jack rabbit smile: a hap and leonard novel (book 11),joe r. lansdale,219
jane seymour the haunted queen: six tudor queens (book 3),alison weir,1037
jericho's war,gerald seymour,537
jessica's girl,josephine cox,269
joe victim,paul cleave,537
jonathan strange & mr norrell,susanna clarke,473
jonathan strange & mr norrell,susanna clarke,473
jubal sackett,louis l''amour,581
jubal sackett,louis l''amour,581
jubal sackett,louis l''amour,581
judges,andrea camilleri,877
